Hemisphere|Location|Month|Months|Name|Price|Size|Time|Type|index|level_0|url
Northern Hemisphere|Sea|3.0|[3, 4, 5, 6, 7, 8, 9, 10, 11]|Barred knifejaw|5,000|Medium-small|All day|Fish|203|138.0|https://static.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Icon-barredknifejaw.png
Northern Hemisphere|Sea|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Barreleye|15,000|Small|9pm - 4am|Fish|29|154.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Icon-barreleye.png
Southern Hemisphere|Sea|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Barreleye|15,000|Small|9pm - 4am|Fish|87|155.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Icon-barreleye.png
Southern Hemisphere|On the ground|3.0|[3, 4]|Bell cricket|430||5pm - 8am|Bug|1263|178.0|https://static.wikia.nocookie.net/animalcrossing/images/9/99/NH-Icon-bellcricket.png
Northern Hemisphere|On the ground|9.0|[9, 10]|Bell cricket|430||5pm - 8am|Bug|1687|180.0|https://static.wikia.nocookie.net/animalcrossing/images/9/99/NH-Icon-bellcricket.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 11, 12]|Betta|2,500|Small|9am - 4pm|Fish|54|182.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Icon-betta.png
Northern Hemisphere|River|5.0|[5, 6, 7, 8, 9, 10]|Betta|2,500|Small|9am - 4pm|Fish|383|186.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Icon-betta.png
Northern Hemisphere|River|1.0|[1, 2, 3, 11, 12]|Bitterling|900|Tiny|All day|Fish|0|194.0|https://static.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Icon-bitterling.png
Southern Hemisphere|River|5.0|[5, 6, 7, 8, 9]|Bitterling|900|Tiny|All day|Fish|403|197.0|https://static.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Icon-bitterling.png
Northern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Black bass|400|Medium-large|All day|Fish|12|204.0|https://static.wikia.nocookie.net/animalcrossing/images/e/e2/NH-Icon-blackbass.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Black bass|400|[[Medium-large|All day|Fish|48|205.0|https://static.wikia.nocookie.net/animalcrossing/images/e/e2/NH-Icon-blackbass.png
Northern Hemisphere|Sea|1.0|[1, 2, 11, 12]|Blowfish|5,000|Medium-small|6pm - 4am|Fish|17|228.0|https://static.wikia.nocookie.net/animalcrossing/images/3/39/NH-Icon-blowfish.png
Southern Hemisphere|Sea|5.0|[5, 6, 7, 8]|Blowfish|5,000|Medium-small|9pm - 4am|Fish|426|230.0|https://static.wikia.nocookie.net/animalcrossing/images/3/39/NH-Icon-blowfish.png
Northern Hemisphere|Pier|1.0|[1, 2, 3, 4, 7, 8, 9, 11, 12]|Blue marlin|10,000|Huge|All day|Fish|26|236.0|https://static.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Icon-bluemarlin.png
Southern Hemisphere|Pier|1.0|[1, 2, 3, 5, 6, 7, 8, 9, 10]|Blue marlin|10,000|Huge|All day|Fish|78|237.0|https://static.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Icon-bluemarlin.png
Southern Hemisphere|On palm trees|1.0|[1, 2]|Blue weevil beetle|800||All day|Bug|1107|254.0|https://static.wikia.nocookie.net/animalcrossing/images/f/f5/NH-Icon-blueweevilbeetle.png
Northern Hemisphere|On palm trees|7.0|[7, 8]|Blue weevil beetle|800||All day|Bug|1538|256.0|https://static.wikia.nocookie.net/animalcrossing/images/f/f5/NH-Icon-blueweevilbeetle.png
Northern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Bluegill|180|Small|9am - 4pm|Fish|10|258.0|https://static.wikia.nocookie.net/animalcrossing/images/6/69/NH-Icon-bluegill.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Bluegill|180|Small|9am - 4pm|Fish|47|259.0|https://static.wikia.nocookie.net/animalcrossing/images/6/69/NH-Icon-bluegill.png
Southern Hemisphere|On trees|1.0|[1, 2]|Brown cicada|250||8am - 5pm|Bug|1091|282.0|https://static.wikia.nocookie.net/animalcrossing/images/a/ab/NH-Icon-browncicada.png
Northern Hemisphere|On trees|7.0|[7, 8]|Brown cicada|250||8am - 5pm|Bug|1522|284.0|https://static.wikia.nocookie.net/animalcrossing/images/a/ab/NH-Icon-browncicada.png
Southern Hemisphere|Sea|1.0|[1, 2, 3, 10, 11, 12]|Butterfly fish|1,000|Small|All day|Fish|66|286.0|https://static.wikia.nocookie.net/animalcrossing/images/8/8e/NH-Icon-butterflyfish.png
Northern Hemisphere|Sea|4.0|[4, 5, 6, 7, 8, 9]|Butterfly fish|1000|Small|All day|Fish|302|289.0|https://static.wikia.nocookie.net/animalcrossing/images/8/8e/NH-Icon-butterflyfish.png
Northern Hemisphere|Pond|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Carp|300|Medium-large|All day|Fish|4|298.0|https://static.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Icon-carp.png
Southern Hemisphere|Pond|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Carp|300|Medium-large|All day|Fish|34|299.0|https://static.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Icon-carp.png
Southern Hemisphere|Pond|1.0|[1, 2, 3, 4, 11, 12]|Catfish|800|Medium-large|4pm - 9am|Fish|45|322.0|https://static.wikia.nocookie.net/animalcrossing/images/2/29/NH-Icon-catfish.png
Northern Hemisphere|Pond|5.0|[5, 6, 7, 8, 9, 10]|Catfish|800|Medium-large|4pm - 9am|Fish|374|326.0|https://static.wikia.nocookie.net/animalcrossing/images/2/29/NH-Icon-catfish.png
Northern Hemisphere|Hitting rocks|1.0|[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]|Centipede|300||4pm - 11pm|Bug|1071|334.0|https://static.wikia.nocookie.net/animalcrossing/images/3/30/NH-Icon-centipede.png
Southern Hemisphere|Hitting rocks|3.0|[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Centipede|300||4pm - 11pm|Bug|1294|337.0|https://static.wikia.nocookie.net/animalcrossing/images/3/30/NH-Icon-centipede.png
Northern Hemisphere|River (Clifftop) Pond|3.0|[3, 4, 5, 6, 9, 10, 11]|Char|3,800|Medium-small|4pm - 9am|Fish|196|354.0|https://static.wikia.nocookie.net/animalcrossing/images/1/15/NH-Icon-char.png
Southern Hemisphere|River (Clifftop) Pond|3.0|[3, 4, 5, 9, 10, 11, 12]|Char|3,800|Medium-small|4pm - 9am|Fish|234|355.0|https://static.wikia.nocookie.net/animalcrossing/images/1/15/NH-Icon-char.png
Northern Hemisphere|River (Clifftop) Pond|3.0|[3, 4, 5, 6, 9, 10, 11]|Cherry salmon|1,000|Medium-small|4pm - 9am|Fish|195|368.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5f/NH-Icon-cherrysalmon.png
Southern Hemisphere|River (Clifftop) Pond|3.0|[3, 4, 5, 9, 10, 11, 12]|Cherry salmon|1,000|Medium-small|4pm - 9am|Fish|233|369.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5f/NH-Icon-cherrysalmon.png
Southern Hemisphere|On trees|1.0|[1, 2]|Cicada shell|10||All day|Bug|1095|382.0|https://static.wikia.nocookie.net/animalcrossing/images/9/97/NH-Icon-cicadashell.png
Northern Hemisphere|On trees|7.0|[7, 8]|Cicada shell|10||All day|Bug|1526|384.0|https://static.wikia.nocookie.net/animalcrossing/images/9/97/NH-Icon-cicadashell.png
Northern Hemisphere|On tree stumps|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Citrus long-horned beetle|350||All day|Bug|1062|386.0|https://static.wikia.nocookie.net/animalcrossing/images/8/8f/NH-Icon-citruslonghornedbeetle.png
Southern Hemisphere|On tree stumps|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Citrus long-horned beetle|350||All day|Bug|1105|387.0|https://static.wikia.nocookie.net/animalcrossing/images/8/8f/NH-Icon-citruslonghornedbeetle.png
Southern Hemisphere|Sea|1.0|[1, 2, 3, 10, 11, 12]|Clown fish|650|Tiny|All day|Fish|64|410.0|https://static.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Icon-clownfish.png
Northern Hemisphere|Sea|4.0|[4, 5, 6, 7, 8, 9]|Clown fish|650|Tiny|All day|Fish|300|413.0|https://static.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Icon-clownfish.png
Northern Hemisphere|Sea (Raining)|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Coelacanth|15,000|Huge|All day|Fish|30|422.0|https://static.wikia.nocookie.net/animalcrossing/images/3/31/NH-Icon-coelacanth.png
Southern Hemisphere|Sea (Raining)|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Coelacanth|15,000|Huge|All day|Fish|88|423.0|https://static.wikia.nocookie.net/animalcrossing/images/3/31/NH-Icon-coelacanth.png
Southern Hemisphere|Flying|1.0|[1, 2, 10, 11, 12]|Common bluebottle|300||4am - 7pm|Bug|1075|446.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Icon-commonbluebottle.png
Northern Hemisphere|Flying|4.0|[4, 5, 6, 7, 8]|Common bluebottle|300||4am - 7pm|Bug|1301|448.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Icon-commonbluebottle.png
Northern Hemisphere|Flying|1.0|[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]|Common butterfly|160||4am - 7pm|Bug|1054|456.0|https://static.wikia.nocookie.net/animalcrossing/images/3/3a/NH-Icon-commonbutterfly.png
Southern Hemisphere|Flying|3.0|[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Common butterfly|160||4am - 7pm|Bug|1246|459.0|https://static.wikia.nocookie.net/animalcrossing/images/3/3a/NH-Icon-commonbutterfly.png
Southern Hemisphere|Pond|1.0|[1, 2, 3, 10, 11, 12]|Crawfish|200|Small|All day|Fish|40|476.0|https://static.wikia.nocookie.net/animalcrossing/images/c/cd/NH-Icon-crawfish.png
Northern Hemisphere|Pond|4.0|[4, 5, 6, 7, 8, 9]|Crawfish|200|Small|All day|Fish|287|479.0|https://static.wikia.nocookie.net/animalcrossing/images/c/cd/NH-Icon-crawfish.png
Southern Hemisphere|On the ground|3.0|[3, 4, 5]|Cricket|130||5pm - 8am|Bug|1262|488.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7a/NH-Icon-cricket.png
Northern Hemisphere|On the ground|9.0|[9, 10, 11]|Cricket|130||5pm - 8am|Bug|1686|491.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7a/NH-Icon-cricket.png
Northern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Crucian carp|160|Small|All day|Fish|2|494.0|https://static.wikia.nocookie.net/animalcrossing/images/0/03/NH-Icon-cruciancarp.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Crucian carp|160|Small|All day|Fish|32|495.0|https://static.wikia.nocookie.net/animalcrossing/images/0/03/NH-Icon-cruciancarp.png
Southern Hemisphere|On palm trees|1.0|[1, 2]|Cyclommatus stag|8,000||5pm - 8am|Bug|1116|518.0|https://static.wikia.nocookie.net/animalcrossing/images/1/17/NH-Icon-cyclommatusstag.png
Northern Hemisphere|On palm trees|7.0|[7, 8]|Cyclommatus stag|8,000||5pm - 8am|Bug|1547|520.0|https://static.wikia.nocookie.net/animalcrossing/images/1/17/NH-Icon-cyclommatusstag.png
Northern Hemisphere|Sea|1.0|[1, 2, 3, 4, 10, 11, 12]|Dab|300|Medium-small|All day|Fish|22|522.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Icon-dab.png
Southern Hemisphere|Sea|4.0|[4, 5, 6, 7, 8, 9, 10]|Dab|300|Medium-small|All day|Fish|350|526.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Icon-dab.png
Northern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Dace|240|Medium-small|4pm - 9am|Fish|3|536.0|https://static.wikia.nocookie.net/animalcrossing/images/2/22/NH-Icon-dace.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Dace|240|Medium-small|4pm - 9am|Fish|33|537.0|https://static.wikia.nocookie.net/animalcrossing/images/2/22/NH-Icon-dace.png
Northern Hemisphere|Flying|1.0|[1, 2, 11, 12]|Damselfly|500||All day|Bug|1060|560.0|https://static.wikia.nocookie.net/animalcrossing/images/1/16/NH-Icon-damselfly.png
Southern Hemisphere|Flying|5.0|[5, 6, 7, 8]|Damselfly|500||All day|Bug|1421|562.0|https://static.wikia.nocookie.net/animalcrossing/images/1/16/NH-Icon-damselfly.png
Northern Hemisphere|Flying|4.0|[4]|Darner Dragonfly|230||8am - 5pm|Bug|1313|568.0|https://static.wikia.nocookie.net/animalcrossing/images/7/70/NH-Icon-darnerdragonfly.png
Southern Hemisphere|Flying|1.0|[1, 2, 3, 4, 10, 11, 12]|Darner dragonfly|230||8am - 5pm|Bug|1096|569.0|https://static.wikia.nocookie.net/animalcrossing/images/7/70/NH-Icon-darnerdragonfly.png
Northern Hemisphere|Flying|5.0|[5, 6, 7, 8, 9, 10]|Darner dragonfly|230||8am - 5pm|Bug|1385|573.0|https://static.wikia.nocookie.net/animalcrossing/images/7/70/NH-Icon-darnerdragonfly.png
Southern Hemisphere|On fresh water|1.0|[1, 2, 3, 11, 12]|Diving beetle|800||8am - 7pm|Bug|1099|582.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Icon-divingbeetle.png
Northern Hemisphere|On fresh water|5.0|[5, 6, 7, 8, 9]|Diving beetle|800||8am - 7pm|Bug|1389|585.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Icon-divingbeetle.png
Southern Hemisphere|River|1.0|[1, 2, 3, 12]|Dorado|15,000|Large|4am - 9pm|Fish|59|592.0|https://static.wikia.nocookie.net/animalcrossing/images/d/df/NH-Icon-dorado.png
Northern Hemisphere|River|6.0|[6, 7, 8, 9]|Dorado|15,000|Large|4am - 9pm|Fish|469|595.0|https://static.wikia.nocookie.net/animalcrossing/images/d/df/NH-Icon-dorado.png
Southern Hemisphere|On trees|1.0|[1, 2, 12]|Drone beetle|200||All day|Bug|1110|600.0|https://static.wikia.nocookie.net/animalcrossing/images/9/99/NH-Icon-dronebeetle.png
Northern Hemisphere|On trees|6.0|[6, 7, 8]|Drone beetle|200||All day|Bug|1470|602.0|https://static.wikia.nocookie.net/animalcrossing/images/9/99/NH-Icon-dronebeetle.png
Northern Hemisphere|Rolling snowballs along the ground|1.0|[1, 2, 12]|Dung beetle|3,000||All day|Bug|1063|606.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Icon-dungbeetle.png
Southern Hemisphere|Rolling snowballs along the ground|6.0|[6, 7, 8]|Dung beetle|3,000||All day|Bug|1494|608.0|https://static.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Icon-dungbeetle.png
Southern Hemisphere|On the ground|1.0|[1, 2, 3]|Earth-boring dung beetle|300||All day|Bug|1108|612.0|https://static.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Icon-earthboringdungbeetle.png
Northern Hemisphere|On the ground|7.0|[7, 8, 9]|Earth-boring dung beetle|300||All day|Bug|1539|615.0|https://static.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Icon-earthboringdungbeetle.png
Northern Hemisphere|Flying|1.0|[1, 2, 3, 6, 7, 8, 9, 12]|Emperor butterfly|4,000||5pm - 8am|Bug|1056|618.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Icon-emperorbutterfly.png
Southern Hemisphere|Flying|1.0|[1, 2, 3, 6, 7, 8, 9, 12]|Emperor butterfly|4,000||5pm - 8am|Bug|1078|619.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Icon-emperorbutterfly.png
Southern Hemisphere|On trees|1.0|[1, 2]|Evening cicada|550||4am - 8am & 4pm - 7pm|Bug|1094|634.0|https://static.wikia.nocookie.net/animalcrossing/images/1/16/NH-Icon-eveningcicada.png
Northern Hemisphere|On trees|7.0|[7, 8]|Evening cicada|550||4am - 8am & 4pm - 7pm|Bug|1525|636.0|https://static.wikia.nocookie.net/animalcrossing/images/1/16/NH-Icon-eveningcicada.png
Northern Hemisphere|Flying|6.0|[6]|Firefly|300||7pm - 4am|Bug|1458|638.0|https://static.wikia.nocookie.net/animalcrossing/images/a/ae/NH-Icon-firefly.png
Southern Hemisphere|Flying|12.0|[12]|Firefly|300||7pm - 4am|Bug|1929|639.0|https://static.wikia.nocookie.net/animalcrossing/images/a/ae/NH-Icon-firefly.png
Southern Hemisphere|On villagers|1.0|[1, 2, 3, 4, 5, 10, 11, 12]|Flea|70||All day|Bug|1131|640.0|https://static.wikia.nocookie.net/animalcrossing/images/9/92/NH-Icon-flea.png
Northern Hemisphere|On villagers|4.0|[4, 5, 6, 7, 8, 9, 10, 11]|Flea|70||All day|Bug|1327|643.0|https://static.wikia.nocookie.net/animalcrossing/images/9/92/NH-Icon-flea.png
Northern Hemisphere|On trash|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Fly|60||All day|Bug|1068|656.0|https://static.wikia.nocookie.net/animalcrossing/images/4/4f/NH-Icon-fly.png
Southern Hemisphere|On trash|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Fly|60||All day|Bug|1129|657.0|https://static.wikia.nocookie.net/animalcrossing/images/4/4f/NH-Icon-fly.png
Northern Hemisphere|Sea|1.0|[1, 2, 3, 11, 12]|Football fish|2,500|Medium-large|4pm - 9am|Fish|27|680.0|https://static.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Icon-footballfish.png
Southern Hemisphere|Sea|5.0|[5, 6, 7, 8, 9]|Football fish|2,500|Medium-large|4pm - 9am|Fish|437|683.0|https://static.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Icon-footballfish.png
Northern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Freshwater goby|400|Small|4pm - 9am|Fish|9|690.0|https://static.wikia.nocookie.net/animalcrossing/images/e/ee/NH-Icon-freshwatergoby.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Freshwater goby|400|Small|4pm - 9am|Fish|44|691.0|https://static.wikia.nocookie.net/animalcrossing/images/e/ee/NH-Icon-freshwatergoby.png
Southern Hemisphere|Pond|1.0|[1, 2, 11, 12]|Frog|120|Small|All day|Fish|43|714.0|https://static.wikia.nocookie.net/animalcrossing/images/6/6b/NH-Icon-frog.png
Northern Hemisphere|Pond|5.0|[5, 6, 7, 8]|Frog|120|Small|All day|Fish|371|716.0|https://static.wikia.nocookie.net/animalcrossing/images/6/6b/NH-Icon-frog.png
Southern Hemisphere|Pond|1.0|[1, 2, 3, 12]|Gar|6,000|Huge|4pm - 9am|Fish|60|722.0|https://static.wikia.nocookie.net/animalcrossing/images/9/9f/NH-Icon-gar.png
Northern Hemisphere|Pond|6.0|[6, 7, 8, 9]|Gar|6,000|Large|4pm - 9am|Fish|470|725.0|https://static.wikia.nocookie.net/animalcrossing/images/9/9f/NH-Icon-gar.png
Southern Hemisphere|On trees|1.0|[1, 2]|Giant cicada|500||8am - 5pm|Bug|1093|730.0|https://static.wikia.nocookie.net/animalcrossing/images/5/58/NH-Icon-giantcicada.png
Northern Hemisphere|On trees|7.0|[7, 8]|Giant cicada|500||8am - 5pm|Bug|1524|732.0|https://static.wikia.nocookie.net/animalcrossing/images/5/58/NH-Icon-giantcicada.png
Southern Hemisphere|Pond|1.0|[1, 2, 12]|Giant snakehead|5,500|Large|9am - 4pm|Fish|46|734.0|https://static.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Icon-giantsnakehead.png
Northern Hemisphere|Pond|6.0|[6, 7, 8]|Giant snakehead|5,500|Large|9am - 4pm|Fish|455|736.0|https://static.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Icon-giantsnakehead.png
Southern Hemisphere|On trees|1.0|[1, 2]|Giant stag|10,000||11pm - 8am|Bug|1114|740.0|https://static.wikia.nocookie.net/animalcrossing/images/2/25/NH-Icon-giantstag.png
Northern Hemisphere|On trees|7.0|[7, 8]|Giant stag|10,000||11pm - 8am|Bug|1545|742.0|https://static.wikia.nocookie.net/animalcrossing/images/2/25/NH-Icon-giantstag.png
Southern Hemisphere|Pier|1.0|[1, 2, 3, 4, 11, 12]|Giant trevally|4,500|Large|All day|Fish|79|744.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7b/NH-Icon-gianttrevally.png
Northern Hemisphere|Pier|5.0|[5, 6, 7, 8, 9, 10]|Giant trevally|4,500|Large|All day|Fish|398|748.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7b/NH-Icon-gianttrevally.png
Southern Hemisphere|On fresh water|1.0|[1, 2, 3, 10, 11, 12]|Giant water bug|2,000||7pm - 8am|Bug|1100|756.0|https://static.wikia.nocookie.net/animalcrossing/images/5/55/NH-Icon-giantwaterbug.png
Northern Hemisphere|On fresh water|4.0|[4, 5, 6, 7, 8, 9]|Giant water bug|2,000||7pm - 8am|Bug|1315|759.0|https://static.wikia.nocookie.net/animalcrossing/images/5/55/NH-Icon-giantwaterbug.png
Southern Hemisphere|On palm trees|1.0|[1, 2]|Giraffe stag|12,000||5pm - 8am|Bug|1118|768.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Icon-giraffestag.png
Northern Hemisphere|On palm trees|7.0|[7, 8]|Giraffe stag|12,000||5pm - 8am|Bug|1549|770.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Icon-giraffestag.png
Southern Hemisphere|On palm trees|1.0|[1, 2]|Golden stag|12,000||5pm - 8am|Bug|1117|772.0|https://static.wikia.nocookie.net/animalcrossing/images/8/82/NH-Icon-goldenstag.png
Northern Hemisphere|On palm trees|7.0|[7, 8]|Golden stag|12,000||5pm - 8am|Bug|1548|774.0|https://static.wikia.nocookie.net/animalcrossing/images/8/82/NH-Icon-goldenstag.png
Northern Hemisphere|River (Clifftop)|3.0|[3, 4, 5, 9, 10, 11]|Golden trout|15,000|Medium-small|4pm - 9am|Fish|197|776.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5c/NH-Icon-goldentrout.png
Southern Hemisphere|River (Clifftop)|3.0|[3, 4, 5, 9, 10, 11]|Golden trout|15,000|Medium-small|4pm - 9am|Fish|235|777.0|https://static.wikia.nocookie.net/animalcrossing/images/5/5c/NH-Icon-goldentrout.png
